propertyCode,address,province,city,district,country,neighborhood,latitude,longitude,distance,floor,price,propertyType,size,exterior,rooms,bathrooms,status,hasLift,idCity,distanceBeach
93713058,Calle Doctor Nicasio Benlloch,Valencia,Valencia,Benicalap,España,Benicalap,39.4891251,-0.3973836,2645,0,500,flat,52,True,2,1,good,True,1,6246
95768330,Juan Bautista Comes,Valencia,Valencia,L'Olivereta,España,La Llum,39.4679683,-0.4140414,3178,3,490,flat,76,True,2,1,good,False,1,7846
95768462,Calle de Felipe Salvador,Valencia,Valencia,Camins al Grau,España,Aiora,39.4629836,-0.3380281,3485,3,650,flat,60,False,2,1,good,False,1,2564
95767951,"Calle de la Democracia, Nou Moles",Valencia,Valencia,L'Olivereta,España,Nou Moles,39.4717632,-0.4012954999999999,2066,5,730,flat,75,True,2,1,good,True,1,6687
95720789,barrio La Petxina,Valencia,Valencia,Extramurs,España,La Petxina,39.4725289,-0.3900405999999999,1110,3,720,flat,80,True,3,1,good,False,1,5724
95726855,barrio El Mercat,Valencia,Valencia,Ciutat Vella,España,El Mercat,39.4735918,-0.3803346999999999,382,1,1000,flat,90,True,3,2,good,False,1,4886
95599661,barrio Malilla,Valencia,Valencia,Quatre Carreres,España,Malilla,39.4489341,-0.3781703999999999,2468,6,900,flat,70,True,2,1,good,False,1,5987
95767501,Calle Santos Justo y Pastor,Valencia,Valencia,Algirós,España,L'Illa Perduda,39.4664176,-0.3433990999999999,2951,3,600,flat,67,True,2,1,good,True,1,2491
95767433,"av malvarosa, 20",Valencia,Valencia,Poblats Marítims,España,Playa de la Malvarrosa,39.4778758,-0.3278585,4304,2,650,flat,80,True,3,1,good,False,1,695
95600514,barrio Sant Francesc,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4694075,-0.3765881,198,1,800,flat,70,True,2,1,good,False,1,4710
95599612,barrio Russafa,Valencia,Valencia,L'Eixample,España,Russafa,39.4610436,-0.3682018999999999,1362,2,800,flat,80,True,2,1,good,False,1,4488
95302774,barrio Campanar,Valencia,Valencia,Campanar,España,Campanar,39.482768,-0.3905289999999999,1725,4,1200,flat,100,True,3,2,good,False,1,5630
95234995,barrio En Corts,Valencia,Valencia,Quatre Carreres,España,En Corts,39.4542964,-0.3739655,1891,5,900,flat,70,True,2,1,good,False,1,5330
95659654,barrio El Carme,Valencia,Valencia,Ciutat Vella,España,El Carme,39.4764912,-0.3827694,762,5,960,penthouse,80,True,2,2,good,False,1,5028
91679352,"Francisco Cubells, 10  ",Valencia,Valencia,Poblats Marítims,España,El Grau,39.4632642,-0.3342127,3795,3,599,flat,66,True,3,1,good,True,1,2409
95302409,barrio El Cabanyal-El Canyamelar,Valencia,Valencia,Poblats Marítims,España,El Cabanyal-El Canyamelar,39.4713938,-0.3267359999999999,4334,2,950,flat,90,True,4,2,good,True,1,1378
95320802,barrio La Creu Coberta,Valencia,Valencia,Jesús,España,La Creu Coberta,39.4527742,-0.3858569,2170,2,650,flat,70,True,2,1,good,True,1,6260
95302103,barrio Benimaclet,Valencia,Valencia,Benimaclet,España,Benimaclet,39.4878381,-0.3577346999999999,2501,1,700,flat,90,True,2,1,good,False,1,2851
95163599,barrio Benicalap,Valencia,Valencia,Benicalap,España,Benicalap,39.4926192,-0.3916506999999999,2691,4,900,flat,80,True,3,1,good,False,1,5810
95766665,barrio Sant Francesc,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4703238,-0.3760593,134,4,875,penthouse,55,True,1,1,renew,True,1,4633
95766638,"Avenida Valladolid, 3",Valencia,Valencia,Rascanya,España,Sant Llorenç,39.4898011,-0.3635701,2385,9,800,flat,75,True,2,2,good,True,1,3383
33924117,Avenida del Cardenal Benlloch,Valencia,Valencia,El Pla del Real,España,Mestalla,39.473796,-0.354981,1933,1,700,flat,70,True,3,1,good,True,1,2803
95464308,Calle San Vicente Mártir,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4733041,-0.3765721999999999,249,3,1350,flat,98,True,2,1,good,True,1,4580
95449159,Calle de Colón,Valencia,Valencia,Ciutat Vella,España,Sant Francesc,39.4666807,-0.3743516,552,8,1000,flat,50,True,2,1,good,True,1,4645
95765238,"Avenida del Primado Reig, 113",Valencia,Valencia,La Saïdia,España,Trinitat,39.4851233,-0.3642094999999999,1916,4,690,flat,54,True,1,1,good,True,1,3373
95763674,barrio En Corts,Valencia,Valencia,Quatre Carreres,España,En Corts,39.4576954,-0.3725974999999999,1545,3,625,flat,100,False,2,1,good,True,1,5010
95761970,Calle de Pere de València,Valencia,Valencia,Algirós,España,L'Illa Perduda,39.4667836,-0.3371195999999999,3477,3,900,flat,97,True,4,1,good,True,1,2153
95761969,"Calle de la Puebla de Valverde, 7",Valencia,Valencia,Patraix,España,Vara de Quart,39.4601459,-0.4020354,2453,6,650,flat,66,True,3,1,good,True,1,7118
95761772,barrio Sant Llorenç,Valencia,Valencia,Rascanya,España,Sant Llorenç,39.4942034,-0.3629384,2844,9,890,flat,100,True,3,2,good,True,1,3463
